,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,custom_spoiler,replies,images,last_replies,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images,trip
27,71378354,,,12/13/22(Tue)00:49:47,Anonymous,/SSG/ - Secret Santa General #29,"Slime edition<br><br><span class=""quote"">&gt;How does it work?</span><br>People will post their Amazon wishlist link according to the instructions below. People who enter the thread may post their list, and it is your decision to gift who you want.<br>-------------------<br>===[FAQ:]===<br>READ THE FUCKING FAQ BEFORE ASKING QUESTIONS<br>-------------------<br><span class=""quote"">&gt;Does my address get shown?</span><br>Your city and state, and shipping name. Refer to the instruction image below. The shipping name can be anything you want.<br><span class=""quote"">&gt;How will I know if something has been bought for me?</span><br>Items disappear from your list after being purchased. You can also go to your list, press Filter and Sort, then select Purchased.<br><span class=""quote"">&gt;Will the information of the gifter be shown to the recipient?</span><br>Your first name may be shown. Amazon by default doesn&#039;t share but third-party items may.<br><span class=""quote"">&gt;Why should I gift something? I&#039;m not gonna get anything in return!</span><br>This is a different take on Secret Santa, where anyone can gift or get from anyone. If you&#039;re feeling generous, please do consider giving back to others.<br><span class=""quote"">&gt;Last year people bought stuff for others and then canceled them to epic fucking troll us!</span><br>And they did that the previous year, and the year before that too. It happens when you have amazon wishlists, it&#039;s disappointing to lose out on a gift, but the item will just go back on your list like they never screwed with you at all.<br><span class=""quote"">&gt;How often should I post my list?</span><br>Once a day or thread depending on the speed of the general<br><span class=""quote"">&gt;Can I post multiple lists?</span><br>No. Only 1.<br>Shut the fuck up you gangrenous cunts<br><span class=""quote"">&gt;I am a Woman/Faggot/Tranny</span><br>GTFO to /soc/<br><span class=""quote"">&gt;But I want stuff!!!! I&#039;m a human too!</span><br>GTFO to /soc/ it&#039;s Christmas every week for you useless holes<br><br>Previous bread: <a href=""/r9k/thread/71362017#p71362017"" class=""quotelink"">&gt;&gt;71362017</a><br>Giftlet sheet: https://docs.google.com/spreadsheet<wbr>s/d/12Kw46RsSrKAaPqMcFCtAPuZlHyG7RS<wbr>T84TSFWDVtJkk",christmas slime,.png,257,257,250,250,1670910587544224,1670910587,0GnISreHoeMKyUlVQu++cw==,17483,0,,ssg-secret-santa-general-29,0,41,25,"[{'no': 71380823, 'now': '12/13/22(Tue)06:27:05', 'name': 'Anonymous', 'com': 'Good morning lads! How&#039;s everybody?<br>https://www.amazon.co.uk/hz/wishlis<wbr>t/ls/3BW1AMYJN7GN9', 'filename': '1669787805320677', 'ext': '.gif', 'w': 400, 'h': 276, 'tn_w': 125, 'tn_h': 86, 'tim': 1670930825692859, 'time': 1670930825, 'md5': '/VWmMIgcHlSwCp6lSawPHA==', 'fsize': 1695333, 'resto': 71378354}, {'no': 71380835, 'now': '12/13/22(Tue)06:29:02', 'name': 'Anonymous', 'com': '<a href=""#p71380823"" class=""quotelink"">&gt;&gt;71380823</a><br>I&#039;m doing pretty good. Just duel links grinding, watching jewtube, and replying to you frens.', 'time': 1670930942, 'resto': 71378354}, {'no': 71380924, 'now': '12/13/22(Tue)06:44:18', 'name': 'Anonymous', 'com': '<a href=""#p71378354"" class=""quotelink"">&gt;&gt;71378354</a><br>One of you sent me a soldering kit for christmas 2015. I think about you whenever I&#039;m soldering. It lead to probably thousands of dollars in repairs, a skill and a lot of fun. You&#039;re also the reason I give gifties to online people nowadays. Thank you so much. The kit is still good as new, too.', 'time': 1670931858, 'resto': 71378354}, {'no': 71380997, 'now': '12/13/22(Tue)06:54:10', 'name': 'Anonymous', 'com': '<a href=""#p71380835"" class=""quotelink"">&gt;&gt;71380835</a><br>Kewl, what are ya watching?<br><br><a href=""#p71380924"" class=""quotelink"">&gt;&gt;71380924</a><br>That&#039;s awesome lad. I&#039;ve also been using all the useful things I&#039;ve gotten over the years to this day.<br>I don&#039;t make any money off of it, but I&#039;m into /tg/ stuff and painting minis/building model terrain, and the hobby supplies /SSG/ has given me have been invaluable!<br><br>Speaking of, I&#039;ve been thinking about making another terrain piece, something that I could use with fantasy tabletop games, but it&#039;ll also look nice on a shelf. I&#039;ve already made a townhouse/tavern, a model of Firelink Shrine from DaS, a witch&#039;s hut, a castle, a watchtower, and a sail ship. Any ideas?', 'time': 1670932450, 'resto': 71378354}, {'no': 71381070, 'now': '12/13/22(Tue)07:04:36', 'name': 'Anonymous', 'com': '<a href=""#p71380997"" class=""quotelink"">&gt;&gt;71380997</a><br>Just various videos that pop-up, I don&#039;t actually sub to anyone. The last one was about Randy Johnson because he was amazing.', 'time': 1670933076, 'resto': 71378354}]",1670933076,0.0,0.0,36.0,24.0,
28,71380098,,,12/13/22(Tue)04:42:23,Anonymous,In a completely hypothetical scenario...,"Let&#039;s say you are sent back to the time when you were just 16, you still keep all your wisdom, thoughts, and memories but with the body of your 16 year old self. You have only been transported this far back to turn your life around completely and deal with your regrets, what would you change?",128989832,.jpg,1283,1577,203,250,1670924543087838,1670924543,U5FnCjUc5n8kj2n80ZGKHQ==,310821,0,,in-a-completely-hypothetical-scenario,0,26,1,"[{'no': 71380715, 'now': '12/13/22(Tue)06:13:13', 'name': 'Anonymous', 'com': '<a href=""#p71380098"" class=""quotelink"">&gt;&gt;71380098</a><br>Everything <br>Bottomtext', 'time': 1670929993, 'resto': 71380098}, {'no': 71380934, 'now': '12/13/22(Tue)06:45:16', 'name': 'Anonymous', 'com': '<a href=""#p71380098"" class=""quotelink"">&gt;&gt;71380098</a><br>I would unironically get a qt gf, my grades would be better, my family would not be disappointed in me and my arm would not be a bar code', 'time': 1670931916, 'resto': 71380098}, {'no': 71380941, 'now': '12/13/22(Tue)06:46:07', 'name': 'Anonymous', 'com': '<a href=""#p71380098"" class=""quotelink"">&gt;&gt;71380098</a><br>16 huh? I&#039;d stop being a depressive, anxious faggot since my brain matured and really try my hardest to get into my old crush&#039;s pants. Maybe I&#039;d succeed this time?', 'time': 1670931967, 'resto': 71380098}, {'no': 71381037, 'now': '12/13/22(Tue)07:00:46', 'name': 'Anonymous', 'com': 'anybody ITT who don&#039;t just say &quot;invest in bitcoin&quot; is a retard. with just 100$ 10-15 years ago, you could be literally millionaire. 1000$ and you&#039;d be billionaire.', 'time': 1670932846, 'resto': 71380098}, {'no': 71381060, 'now': '12/13/22(Tue)07:03:38', 'name': 'Anonymous', 'com': '<a href=""#p71380098"" class=""quotelink"">&gt;&gt;71380098</a><br>Invest in stocks and bitcoin<br>Lift CORRECTLY so I don&#039;t fuck my joints and lose all discipline for even lighter exercises<br>Don&#039;t chase Lucy because I won&#039;t get her and <br>so my best buddy doesn&#039;t fuck her &quot;out of curiosity&quot; and then tell me that &quot;she wasn&#039;t worth the fuck&quot;<br>Get my gun license at 18 not 30', 'time': 1670933018, 'resto': 71380098}]",1670933018,0.0,0.0,21.0,1.0,
29,71380996,,,12/13/22(Tue)06:54:00,Anonymous,,"<span class=""quote"">&gt;so when are you introducing your gf to us anon? surely there must be someone in your life?</span>",068EA76D-4628-43C3-A8B9-4D7FCB9DCDC2,.jpg,400,400,250,250,1670932440605418,1670932440,CVK6tF/VDKiZBKuboNbXOA==,29125,0,,so-when-are-you-introducing-your-gf-to-us-anon,0,1,1,"[{'no': 71381058, 'now': '12/13/22(Tue)07:03:30', 'name': 'Anonymous', 'com': '<a href=""#p71380996"" class=""quotelink"">&gt;&gt;71380996</a><br>They wouldn&#039;t understand my love.', 'filename': '026', 'ext': '.png', 'w': 720, 'h': 598, 'tn_w': 125, 'tn_h': 103, 'tim': 1670933010457181, 'time': 1670933010, 'md5': 'W60Ui3UD8Qf9RWfQWCZ92Q==', 'fsize': 106204, 'resto': 71380996}]",1670933010,0.0,0.0,,,
30,71380680,,,12/13/22(Tue)06:08:24,Anonymous,,"Advice to the young guys who still want to find a girlfriend.<br>For the love of god, do it while you&#039;re young. I&#039;m 30+ and I wish I had put more effort when I was younger.<br>Dating as a man past 30 is a nightmare, don&#039;t delude yourself into thinking you&#039;ll be pulling women significantly younger than you. You&#039;ll be stuck trying to find a half decent older woman, which is pretty much impossible. <br>Any half decent woman is taken by her mid 20s, after that you&#039;ll be dealing with fat retards whose only interests in life are drinking and astrology. Oh and single moms are fucking everywhere.",ss,.jpg,800,953,209,250,1670929704612547,1670929704,cqkABl1PORQx6lRc6nwr+w==,112160,0,,advice-to-the-young-guys-who-still-want-to-find-a,0,14,1,"[{'no': 71380820, 'now': '12/13/22(Tue)06:26:57', 'name': 'Anonymous', 'com': '<a href=""#p71380785"" class=""quotelink"">&gt;&gt;71380785</a><br><span class=""quote"">&gt;no such thing as good 36 yr old pussy</span>', 'time': 1670930817, 'resto': 71380680}, {'no': 71380831, 'now': '12/13/22(Tue)06:28:23', 'name': 'Anonymous', 'com': 'Gonna make it to 40', 'time': 1670930903, 'resto': 71380680}, {'no': 71380957, 'now': '12/13/22(Tue)06:48:25', 'name': 'Anonymous', 'com': '<a href=""#p71380763"" class=""quotelink"">&gt;&gt;71380763</a><br>Well I had a respectable job. Besides I don&#039;t go after girls unless they give me pretty obvious go aheads to initiate that kinda stuff. Yeah 9/10 it was usually my job that girls would be interested in rather than anything about me.', 'time': 1670932105, 'resto': 71380680}, {'no': 71381022, 'now': '12/13/22(Tue)06:58:29', 'name': 'Anonymous', 'com': '<a href=""#p71380957"" class=""quotelink"">&gt;&gt;71380957</a><br>Whats your job? Need to know', 'time': 1670932709, 'resto': 71380680}, {'no': 71381055, 'now': '12/13/22(Tue)07:02:54', 'name': 'Anonymous', 'com': '<a href=""#p71381022"" class=""quotelink"">&gt;&gt;71381022</a><br>Nuclear biologist', 'time': 1670932974, 'resto': 71380680}]",1670932974,0.0,0.0,9.0,1.0,
31,71378653,,,12/13/22(Tue)01:20:51,Anonymous,,"<span class=""quote"">&gt;BBC posting has broken white anons so badly they starting to spam &quot;muh BWC&quot; everywhere</span>",1228895-businessman-laughing,.jpg,866,1300,166,250,1670912451057521,1670912451,VgozVv/kvXNV7THe0bKgKg==,259844,0,,bbc-posting-has-broken-white-anons-so-badly-they,0,23,7,"[{'no': 71380915, 'now': '12/13/22(Tue)06:42:38', 'name': 'Anonymous', 'com': '<a href=""#p71379746"" class=""quotelink"">&gt;&gt;71379746</a><br>Kekked all they can do is cower and (poorly) imitate', 'time': 1670931758, 'resto': 71378653}, {'no': 71380926, 'now': '12/13/22(Tue)06:44:35', 'name': 'Anonymous', 'com': '<a href=""#p71378734"" class=""quotelink"">&gt;&gt;71378734</a><br>only thing in chastity is gonna be you as you plow the fields while we plow your women. You have historically always been the ones getting cucked. lmao', 'time': 1670931875, 'resto': 71378653}, {'no': 71380955, 'now': '12/13/22(Tue)06:48:09', 'name': 'Anonymous', 'com': '<a href=""#p71378653"" class=""quotelink"">&gt;&gt;71378653</a><br><span class=""quote"">&gt;BBC posting has broken white anons so badly they starting to spam &quot;muh BWC&quot; everywhere</span><br>It&#039;s chimp-brained cringe. Absolutely raw degeneracy in all its embarrassingness. There&#039;s so much of this website that is fail in the current year, and the bizarre obsession with highly racialized pornography is perhaps the worst', 'time': 1670932089, 'resto': 71378653}, {'no': 71381018, 'now': '12/13/22(Tue)06:57:48', 'name': 'Anonymous', 'com': '<a href=""#p71380955"" class=""quotelink"">&gt;&gt;71380955</a><br><span class=""quote"">&gt;I&#039;m a little cuck nerd faggot</span><br>That&#039;s all you had to say, buddy.', 'filename': '1667337949792239', 'ext': '.jpg', 'w': 238, 'h': 211, 'tn_w': 125, 'tn_h': 110, 'tim': 1670932668188756, 'time': 1670932668, 'md5': 'Hv6XZBaAgntmuiG3SESv2A==', 'fsize': 6084, 'resto': 71378653}, {'no': 71381053, 'now': '12/13/22(Tue)07:02:42', 'name': 'Anonymous', 'com': '<a href=""#p71378653"" class=""quotelink"">&gt;&gt;71378653</a><br><span class=""quote"">&gt;be a massive retard discord cockgobbling faggot</span><br><span class=""quote"">&gt;your le epic raiding and spamming of boards is becoming less effective and your delusional goals of converting people to being as brain damaged as you is not working as you hoped</span><br><span class=""quote"">&gt;in fact people are just responding by doing what you&#039;re doing but in reverse and it is causing you insurmountable levels of seethe, how dare they </span><br><span class=""quote"">&gt;faced with the prospect of facing up to your own mental problems you opt to instead post &quot;LOL U MAD&quot; in order to pretend anyone else on this board and/or website actually is on your side</span><br>your nearest bleach and rope funfair is definitely running a discount offer just for you anon, please participate :^)', 'time': 1670932962, 'resto': 71378653}]",1670932962,0.0,0.0,18.0,6.0,
32,71381048,,,12/13/22(Tue)07:02:17,Anonymous,,I can&#039;t believe I started coming here when I was 15 and i&#039;m now 20.,B6AC97A8-27DB-4F40-932B-76095D89D878,.jpg,1279,682,250,133,1670932937681132,1670932937,pucXuJd9lxlhwf2IGxZ0wg==,257751,0,,i-cant-believe-i-started-coming-here-when-i-was,0,0,0,,1670932937,0.0,0.0,,,
33,71380896,,,12/13/22(Tue)06:38:36,Anonymous,,I want to be a girl don&#039;t have the courage to transition. I don&#039;t want people to hate me or laugh at me. But this isn&#039;t some fleeting wish. It&#039;s something that causes me hurt every day.,keyboard,.jpg,749,734,250,244,1670931516924006,1670931516,feu5xkiAC5asuYut/qEUXA==,58187,0,,i-want-to-be-a-girl-dont-have-the-courage-to,0,5,0,"[{'no': 71380908, 'now': '12/13/22(Tue)06:41:28', 'name': 'Anonymous', 'com': '<a href=""#p71380896"" class=""quotelink"">&gt;&gt;71380896</a><br>ywnbag<br><br>og', 'time': 1670931688, 'resto': 71380896}, {'no': 71381008, 'now': '12/13/22(Tue)06:56:05', 'name': 'Anonymous', 'com': '<a href=""#p71380896"" class=""quotelink"">&gt;&gt;71380896</a><br>Just do it and go all the way, anon. You can make it work if you put in the effort.', 'time': 1670932565, 'resto': 71380896}, {'no': 71381017, 'now': '12/13/22(Tue)06:57:45', 'name': 'Anonymous', 'com': '<a href=""#p71380896"" class=""quotelink"">&gt;&gt;71380896</a><br>Who cares, do it faggot. You&#039;re not some celebrity that anyone will give a shit about. People will hate you and laugh at yoh after you trans, me included.', 'time': 1670932665, 'resto': 71380896}, {'no': 71381023, 'now': '12/13/22(Tue)06:58:41', 'name': 'Anonymous', 'com': '<a href=""#p71380896"" class=""quotelink"">&gt;&gt;71380896</a><br>Yeah I wish I weren&#039;t ugly. But I&#039;m not. Oh well.', 'time': 1670932721, 'resto': 71380896}, {'no': 71381036, 'now': '12/13/22(Tue)07:00:35', 'name': 'Anonymous', 'com': '<a href=""#p71380896"" class=""quotelink"">&gt;&gt;71380896</a><br>It does permanent, irreparable harm to a child&#039;s soul when they don&#039;t witness a tranny being viciously beaten publicly and driven back down into the darkness where they belong.<br><br>Trannies are perverts, and perversion can only be held back through corporal punishment and widespread, enthusiastic derision.<br><br>Children must be made to understand that these people are mutant freaks who want to destroy civilization and humanity.<br><br>Letting innocent young children witness a tranny in public who isn&#039;t being beaten soundly is infinite death for the entire universe.', 'time': 1670932835, 'resto': 71380896}]",1670932835,0.0,0.0,,,
34,71380888,,,12/13/22(Tue)06:37:40,Anonymous,,"Rock stops succeeding after they stop stealing it from black people in the 20s to 50s. Decent run from the 80s to 2000s.<br><br>Glam rock and metal in the 80s, grunge in the 90s, emo in the 00s and then it died before we even hit 2020. all while hip hop and rap were exploding in the same time line<br><br>before that there was a solid 30 years of stealing music from black folks from the 40s to 70s.<br><br>if i&#039;m wrong, prove it",1670604368398988,.png,553,506,250,228,1670931460200895,1670931460,QQWmS8g6HkDVfXROLXk0Kw==,76252,0,,rock-stops-succeeding-after-they-stop-stealing-it,0,4,0,"[{'no': 71380906, 'now': '12/13/22(Tue)06:40:44', 'name': 'Anonymous', 'com': '<a href=""#p71380888"" class=""quotelink"">&gt;&gt;71380888</a><br><span class=""quote"">&gt;if i&#039;m wrong, prove it</span><br>You&#039;re probably right although I don&#039;t have the cultural knowledge to verify your claims. Like, regardless of whether or not this is a troll post, it is probably factual in its truth claims', 'time': 1670931644, 'resto': 71380888}, {'no': 71380911, 'now': '12/13/22(Tue)06:42:12', 'name': 'Anonymous', 'com': '<a href=""#p71380888"" class=""quotelink"">&gt;&gt;71380888</a><br>Rock is still popular to this day. How are black people going to act like they invented rock or even blues when it&#039;s 99% all white chords, instruments, lyrics and scales? Most famous rapper is white btw.', 'time': 1670931732, 'resto': 71380888}, {'no': 71380967, 'now': '12/13/22(Tue)06:49:31', 'name': 'Anonymous', 'com': '<a href=""#p71380911"" class=""quotelink"">&gt;&gt;71380911</a><br><span class=""quote"">&gt;most famous rapper is white</span><br>Almost like whites purchase the most albums or something', 'time': 1670932171, 'resto': 71380888}, {'no': 71381035, 'now': '12/13/22(Tue)07:00:33', 'name': 'Anonymous', 'com': '<a href=""#p71380967"" class=""quotelink"">&gt;&gt;71380967</a><br>Globally the artist who sold the most was white. Fact is black people just appropriate everything.', 'time': 1670932833, 'resto': 71380888}]",1670932833,0.0,0.0,,,
35,71380276,,,12/13/22(Tue)05:07:39,Anonymous,,Anyone here ever given up drinking almost just because?<br><br>I miss drinking at social gatherings but the idea that&#039;s its poison and ruins so many lives really puts me off. The threshold for getting a hangover after 30 is so much lower as well. Even two or three can leave me feeling worse.<br><br>Anyone else?,file,.png,496,493,250,248,1670926059742724,1670926059,OF25gaR9YRtqML3rW3r6rg==,291902,0,,anyone-here-ever-given-up-drinking-almost-just,0,17,2,"[{'no': 71380936, 'now': '12/13/22(Tue)06:45:21', 'name': 'Anonymous', 'com': '<a href=""#p71380630"" class=""quotelink"">&gt;&gt;71380630</a><br>was really hoping not to read something like this that rings so true.<br><br>I couldn&#039;t imagine a life of full sobriety from alcohol... i just cant conceive it anymore after 5 years of straight drinking', 'time': 1670931921, 'resto': 71380276}, {'no': 71380947, 'now': '12/13/22(Tue)06:47:00', 'name': 'hecate', 'com': '<a href=""#p71380276"" class=""quotelink"">&gt;&gt;71380276</a><br>nope<br>https://www.youtube.com/watch?v=Vud<wbr>TAeQeA9o', 'time': 1670932020, 'resto': 71380276}, {'no': 71380975, 'now': '12/13/22(Tue)06:50:17', 'name': 'Anonymous', 'com': '<a href=""#p71380276"" class=""quotelink"">&gt;&gt;71380276</a><br>I have a weak liver so I only drink very rarely and only if it tastes good, like a Mike&#039;s.', 'time': 1670932217, 'resto': 71380276}, {'no': 71381020, 'now': '12/13/22(Tue)06:58:07', 'name': 'Anonymous', 'com': '<a href=""#p71380891"" class=""quotelink"">&gt;&gt;71380891</a><br>Explain? Ever since I come to this country I got a fucking sixth sense for aboriginal menaces lol, is that what you mean? Hahahahah <br><br>Also I have to ask I see these signs like don&#039;t swim in the rivers crocodiles gonna kill you!!!! Is it true or what? I looked online it just seemed like scaremongwring. Back in townsvile they had the same signs but it was &quot;stingers&quot; gonna kill you. I just fucking swam and nothing happened. I dunno so many of these signs seem like bullshit or 1 in 1 fucking million.<br><br>I haven&#039;t seen a crocodile yet.', 'time': 1670932687, 'resto': 71380276}, {'no': 71381034, 'now': '12/13/22(Tue)07:00:24', 'name': 'Anonymous', 'com': '<a href=""#p71380276"" class=""quotelink"">&gt;&gt;71380276</a><br>I&#039;ve just stopped because I can&#039;t afford it anymore. Quit my job and have zero income. Honestly wish I could have beers more regularly, but I&#039;ve lost heaps of weight and looking much better. It&#039;s the ciggies I miss most, I really wish I could afford ciggies.', 'time': 1670932824, 'resto': 71380276}]",1670932824,0.0,0.0,12.0,2.0,
36,71380462,,,12/13/22(Tue)05:38:30,Anonymous,,"We hate women because we cant have them. Imagine waking up every day next to the love of your life, fucking her at a moment7s notice, her making you breakfast and you taking care of her promising to protect her and raise children together? <br>Hate and love is a very close emotion, we hate what we cant have because we love it so much. Realize that dying alone will be a life wasted. So get out there and try.",DE660284-D806-4E90-AF7B-3E16239F51B3,.jpg,1284,1542,208,250,1670927910242252,1670927910,oF0PkUfQEA5KjgRsWSctsA==,285398,0,,we-hate-women-because-we-cant-have-them-imagine,0,11,2,"[{'no': 71380660, 'now': '12/13/22(Tue)06:05:36', 'name': 'Anonymous', 'com': '<a href=""#p71380604"" class=""quotelink"">&gt;&gt;71380604</a><br>lmao you don&#039;t even hate women ur just lonely frfr ^~^)&gt;<br>you need a hug?', 'time': 1670929536, 'resto': 71380462}, {'no': 71380724, 'now': '12/13/22(Tue)06:14:23', 'name': 'Anonymous', 'com': '<a href=""#p71380660"" class=""quotelink"">&gt;&gt;71380660</a><br>how can i b lonely when i got u bro', 'time': 1670930063, 'resto': 71380462}, {'no': 71380798, 'now': '12/13/22(Tue)06:23:51', 'name': 'Anonymous', 'com': '<a href=""#p71380724"" class=""quotelink"">&gt;&gt;71380724</a><br>oh, im not exactly the most bro-like person but thanks &gt;///&lt;', 'time': 1670930631, 'resto': 71380462}, {'no': 71380870, 'now': '12/13/22(Tue)06:34:55', 'name': 'Anonymous', 'com': '<a href=""#p71380655"" class=""quotelink"">&gt;&gt;71380655</a><br>but i hate other humans<br>i hate being around them<br>being around them is what makes me miserable. I&#039;m not an ant like you.', 'time': 1670931295, 'resto': 71380462}, {'no': 71381031, 'now': '12/13/22(Tue)06:59:55', 'name': 'Anonymous', 'com': '<a href=""#p71380870"" class=""quotelink"">&gt;&gt;71380870</a><br>If you truly hate everyone, you wouldnt be here. You only say you hate everyone, because they dont love you like you wish they did. Faith worse than death.', 'time': 1670932795, 'resto': 71380462}]",1670932795,0.0,0.0,6.0,2.0,
37,71381021,,,12/13/22(Tue)06:58:08,Anonymous,I might like trannies.,I don&#039;t enjoy it when trannies confuse me. What should I say to her? I don&#039;t want to do this but with the way she looks a blowie would be fine?,Screenshot_2022-12-13-11-55-07-998_com.bumble.app,.jpg,1080,2400,112,250,1670932688915369,1670932688,Bc6MjSH5iFviH9oL52DIpg==,994213,0,,i-might-like-trannies,0,0,0,,1670932688,0.0,0.0,,,
38,71380837,,,12/13/22(Tue)06:29:21,Anonymous,A future every Feminists wants,https://youtu.be/O2RIvJ1U7RE<br>We finally have a solution to women always complaining that they&#039;re just wombs slaves<br>We aren&#039;t there yet but I can easily imagine this to be the future<br>Only Christcucks will find this dystopian,167093049828973160,.jpg,600,346,250,144,1670930961135682,1670930961,GwwpoeuORaI13Z+oxGQm/w==,36201,0,,a-future-every-feminists-wants,0,2,1,"[{'no': 71380973, 'now': '12/13/22(Tue)06:50:12', 'name': 'Anonymous', 'com': '<a href=""#p71380837"" class=""quotelink"">&gt;&gt;71380837</a><br>That would be cool, but as said feminist, Id have to point out, that the danger of womb slavery wont disappear at all, cause our society will soon collapse and this technology will be too expensive. Why use it when you can just rape. The only way to eliminate this danger is to kill off 90% of men. Cleansing society of surplus men have never not been good for the society, but we should push it a bit further.', 'filename': '405px-Great_Semiramis,_Queen_of_Assyria_-_Cesare_Saccaggi', 'ext': '.jpg', 'w': 405, 'h': 599, 'tn_w': 84, 'tn_h': 125, 'tim': 1670932212701007, 'time': 1670932212, 'md5': '1D3bqiQAyLdq3WKJTVN0Hg==', 'fsize': 92524, 'resto': 71380837}, {'no': 71381016, 'now': '12/13/22(Tue)06:57:17', 'name': 'Anonymous', 'com': '<a href=""#p71380973"" class=""quotelink"">&gt;&gt;71380973</a><br>A surplus of men is to women&#039;s advantage.<br><br>A society in which men made up only 10% of the population would be far more patriarchal.', 'time': 1670932637, 'resto': 71380837}]",1670932637,0.0,0.0,,,
39,71367365,,,12/12/22(Mon)08:57:43,Anonymous,,Women wants a dick like this in 2022,1669733003185581,.webm,730,684,250,234,1670853463104747,1670853463,HCstRvQfkE9pSpoBy8Civg==,1549534,0,,women-wants-a-dick-like-this-in-2022,0,146,15,"[{'no': 71379262, 'now': '12/13/22(Tue)02:41:17', 'name': 'Anonymous', 'com': '<a href=""#p71371541"" class=""quotelink"">&gt;&gt;71371541</a><br>Its not that great desu', 'time': 1670917277, 'resto': 71367365}, {'no': 71379319, 'now': '12/13/22(Tue)02:48:45', 'name': 'Anonymous', 'com': '<a href=""#p71367382"" class=""quotelink"">&gt;&gt;71367382</a><br>you have no idea how far down chad will date vs just jacking off', 'time': 1670917725, 'resto': 71367365}, {'no': 71379326, 'now': '12/13/22(Tue)02:49:48', 'name': 'Anonymous', 'com': '<a href=""#p71369214"" class=""quotelink"">&gt;&gt;71369214</a><br>if you have an actual cock that long you are in the top 10% of men for dick length', 'time': 1670917788, 'resto': 71367365}, {'no': 71380313, 'now': '12/13/22(Tue)05:13:20', 'name': 'Anonymous', 'com': '<a href=""#p71376878"" class=""quotelink"">&gt;&gt;71376878</a><br><span class=""quote"">&gt;liking dick isn&#039;t homosexual</span>', 'filename': 'wat', 'ext': '.gif', 'w': 200, 'h': 200, 'tn_w': 125, 'tn_h': 125, 'tim': 1670926400759661, 'time': 1670926400, 'md5': 'NgJyzUnNb2aKe9f48m1OUQ==', 'fsize': 2093260, 'resto': 71367365}, {'no': 71381012, 'now': '12/13/22(Tue)06:56:38', 'name': 'Anonymous', 'com': '<a href=""#p71367393"" class=""quotelink"">&gt;&gt;71367393</a><br>You sound like a teenager. Like if praising avarage/below avarage girls will make you have chance with them. They decive you, glasses covering half face, the other half covered with decent haircut. But they know they value themselves, 3-5/10 would say eww no to you every time, out of their own insecurities and toxic personality.', 'time': 1670932598, 'resto': 71367365}]",1670932598,0.0,0.0,141.0,14.0,
40,71379470,,,12/13/22(Tue)03:08:04,Autistic retardc nigger,,"Thoughts on guys who take their sissy fetish too far? For instance this guy remodelled his entire room to suit his fantasies, not content with just crossdressing.",boyz2girls2018a__71__by_taylorbeach2001_dc1g41b-fullview,.jpg,1024,1366,187,250,1670918884296589,1670918884,FlpM/3FyIkyT3tM9IFzFMw==,125456,0,,thoughts-on-guys-who-take-their-sissy-fetish-too,0,11,4,"[{'no': 71379700, 'now': '12/13/22(Tue)03:44:19', 'name': 'Anonymous', 'com': '<a href=""#p71379509"" class=""quotelink"">&gt;&gt;71379509</a><br>Lol this place has gotten so gay that some anons are rage quitting', 'time': 1670921059, 'resto': 71379470}, {'no': 71379905, 'now': '12/13/22(Tue)04:11:15', 'name': 'Anonymous', 'com': '<a href=""#p71379470"" class=""quotelink"">&gt;&gt;71379470</a><br>What&#039;s better Ozzy Sabbath or Dio Sabbath', 'time': 1670922675, 'resto': 71379470}, {'no': 71380868, 'now': '12/13/22(Tue)06:34:44', 'name': 'Anonymous', 'com': '<a href=""#p71379470"" class=""quotelink"">&gt;&gt;71379470</a><br>Honestly if I had the money and lack of responsibilities I&#039;d do the same. Sissification is intoxicating and I can&#039;t get enough of it.<br><br>Would also get a tattoo like this one:<br><br>https://nitter it/MissVioletDomme/status/149296751<wbr>7471576065#m', 'filename': '139959437', 'ext': '.jpg', 'w': 825, 'h': 1153, 'tn_w': 89, 'tn_h': 125, 'tim': 1670931284741669, 'time': 1670931284, 'md5': 'awDK9Y5fW5XwDFlVdOmEbg==', 'fsize': 204345, 'resto': 71379470}, {'no': 71380877, 'now': '12/13/22(Tue)06:35:57', 'name': 'Anonymous', 'com': 'I bet that person is happier than the vast majority of people. In a way, I am jealous.', 'filename': 'top-5-regrets-of-the-dying', 'ext': '.jpg', 'w': 1000, 'h': 1000, 'tn_w': 125, 'tn_h': 125, 'tim': 1670931357188073, 'time': 1670931357, 'md5': 'zPBa9pUJqajBWyrWL2fCrA==', 'fsize': 177911, 'resto': 71379470}, {'no': 71381007, 'now': '12/13/22(Tue)06:56:03', 'name': 'Anonymous', 'com': '<a href=""#p71379470"" class=""quotelink"">&gt;&gt;71379470</a><br>Been into sissy stuff ever since I started jerking/awakening my sexuality. Genuinely we are in a sissy golden age right now with content/clothes/toys/porn etc. Sissy twitter is god-tier.', 'time': 1670932563, 'resto': 71379470}]",1670932563,0.0,0.0,6.0,2.0,
